Title,Summary,Publication Date,Source,URL,Category,Predicted Category
Trump 'considering large-scale sanctions and tariffs' on Russia after wave of strikes on Ukraine,No summary available,2025-03-07,BBC,https://www.bbc.comhttps://www.bbc.com/news/live/cg70jylp32gt,Health,Entertainment
'How many more years must be stolen?': Afghan women on life under the Taliban,The BBC is spending the day with women across Afghanistan to understand what their lives look like under the Taliban government.,2025-03-07,BBC,https://www.bbc.comhttps://www.bbc.com/news/live/c0l16424w1pt,Entertainment,Sports
Fears of destruction as 'erratic' cyclone nears Australia,Four million people across Queensland and northern New South Wales are in the firing line.,2025-03-07,BBC,https://www.bbc.com/news/articles/cg5d0z8v0z0o,Technology,Politics
"Students now free to choose their hairstyles, Thai court rules",No summary available,2025-03-07,BBC,https://www.bbc.com/news/articles/cj67yj1kj36o,Entertainment,Entertainment
Worst violence in Syria since Assad fall as dozens killed in clashes,No summary available,2025-03-07,BBC,https://www.bbc.com/news/articles/cdrxkm2evnlo,Entertainment,Entertainment
'How many more years must be stolen?': Afghan women on life under the Taliban,The BBC is spending the day with women across Afghanistan to understand what their lives look like under the Taliban government.,2025-03-07,BBC,https://www.bbc.comhttps://www.bbc.com/news/live/c0l16424w1pt,Sports,Sports
The 'traitor' at the heart of South Korea's impeachment drama,"Once a close ally of President Yoon Suk-Yeol, Han tells the BBC how and why he turned against him.",2025-03-07,BBC,https://www.bbc.com/news/articles/cwyg120gkryo,Technology,Technology
Lady Gaga: My biggest fear? Being alone,"As she returns to pop with her seventh album, Mayhem, Lady Gaga reflects on the loneliness of fame.",2025-03-07,BBC,https://www.bbc.com/news/articles/c981w6zexj2o,Technology,Sports
The Indian film showing the bride's 'humiliation' in arranged marriage,Sthal is notable for the unflinching way it portrays a bride's experience in arranged marriage.,2025-03-07,BBC,https://www.bbc.com/news/articles/cddyyyl4rm5o,Technology,Sports
Fears of destruction as 'erratic' cyclone nears Australia,Four million people across Queensland and northern New South Wales are in the firing line.,2025-03-07,BBC,https://www.bbc.com/news/articles/cg5d0z8v0z0o,Entertainment,Politics
Trump expands exemptions from Canada and Mexico tariffs,No summary available,2025-03-07,BBC,https://www.bbc.com/news/articles/c5y03qleevvo,Health,Entertainment
Eurostar says Paris trains to restart on Saturday as police evacuate 200 over WW2 bomb,No summary available,2025-03-07,BBC,https://www.bbc.comhttps://www.bbc.com/news/live/cz6l257gnjqt,Technology,Entertainment
US man will be first to be executed by firing squad in 15 years,No summary available,2025-03-07,BBC,https://www.bbc.com/news/articles/c86p0wzjv0do,Entertainment,Entertainment
Watch: SpaceX rocket spins out of control in test flight failure,No summary available,2025-03-07,BBC,https://www.bbc.com/news/videos/c5yxk9yvyvko,Sports,Entertainment
Olympic snowboarder on FBI most wanted list for deadly drug ring,No summary available,2025-03-07,BBC,https://www.bbc.com/news/articles/c78ez2g5306o,Health,Entertainment
"King Charles reveals his playlist, from Marley to Kylie",No summary available,2025-03-07,BBC,https://www.bbc.com/news/articles/c0jg9ej244do,Sports,Entertainment
Weekly quiz: Anora cleaned up but who left the Oscars empty-handed?,How much attention did you pay to what has been going on in the world over the past seven days?,2025-03-07,BBC,https://www.bbc.com/news/articles/cvgwv419ewmo,Health,Sports
France has a nuclear umbrella. Could its European allies fit under it?,President Macron has aired the idea that France's deterrence force could be used to defend of other European countries.,2025-03-07,BBC,https://www.bbc.com/news/articles/c871e41751yo,Entertainment,Health
