Title,Summary,Publication Date,Source,URL
Kim Jong Un was China's ally - until he became the 'comrade from hell',"Beijing is caught between its sanctioned neighbours, whose new alliance is causing concern. ",2024-11-02,BBC,https://www.bbc.com/news/articles/c207gzprr33o
'A lot of women are rising up': Harris hopes hinge on female vote,Polls show young women overwhelmingly support Harris - some of them tell the BBC why.,2024-11-02,BBC,https://www.bbc.com/news/articles/c5y398q2kq4o
Swapped at birth: How two women discovered they weren’t who they thought they were,It was only a home DNA test but its unexpected results rocked two families to their core.,2024-11-02,BBC,https://www.bbc.com/news/articles/cp3njqd9nl9o
Search for Spain flood survivors continues as torrential rain hits another region,More than 200 people are dead and dozens more still missing after torrential rain earlier this week. ,2024-11-02,BBC,https://www.bbc.com/news/articles/cx27exg5g33o
Trapped in cars and garages: Why Valencia floods proved so deadly,"Various factors, including drivers becoming trapped in their cars, poor planning by officials and extreme rainfall being exacerbated by climate change are all likely to have contributed. ",2024-11-02,BBC,https://www.bbc.com/news/articles/c62lkne32v9o
'A lot of women are rising up': Harris hopes hinge on female vote,Polls show young women overwhelmingly support Harris - some of them tell the BBC why.,2024-11-02,BBC,https://www.bbc.com/news/articles/c5y398q2kq4o
Harris campaigns with Cardi B as Trump hosts duelling rally in Milwaukee,Polling staff in the swing state of Wisconsin - where both Harris and Trump are campaigning - report seeing 'way more' early voters.,2024-11-02,BBC,https://www.bbc.comhttps://www.bbc.com/news/live/c74l39543q5t
Trump courts divided Arab-American voters in must-win Michigan,Arab-American voters in the must-win state of Michigan could determine the close race. ,2024-11-02,BBC,https://www.bbc.com/news/articles/cy5ln171edlo
The rebel painter who ushered in a new era of Indian art,"Vasudeo Gaitonde, born 100 years ago, is considered one of South Asia's greatest abstract painters.",2024-11-02,BBC,https://www.bbc.com/news/articles/c87x85ynw49o
Swapped at birth: How two women discovered they weren’t who they thought they were,It was only a home DNA test but its unexpected results rocked two families to their core.,2024-11-02,BBC,https://www.bbc.com/news/articles/cp3njqd9nl9o
Pioneering Indian designer Rohit Bal dies at 63,No summary available,2024-11-02,BBC,https://www.bbc.com/news/articles/cv229dmmgwko
Ex-officer found guilty in death of Breonna Taylor ,No summary available,2024-11-02,BBC,https://www.bbc.com/news/articles/cz6jp80dx4no
Fourteen dead in Serbia railway station canopy collapse,No summary available,2024-11-02,BBC,https://www.bbc.com/news/articles/c9wrp7g05xro
MrBeast: Law firm finds grooming claims against co-host baseless,No summary available,2024-11-02,BBC,https://www.bbc.com/news/articles/czxrn5k22p4o
Bolivia military post seized and soldiers kidnapped,No summary available,2024-11-02,BBC,https://www.bbc.com/news/articles/c937kekx3nqo
Israel strikes historic Lebanese city of Baalbek after ordering evacuation,Tens of thousands flee as the Israeli military says it struck fuel depots belonging to Hezbollah.,2024-11-02,BBC,https://www.bbc.com/news/articles/crez85y20zvo
US warns Israel over Gaza aid as deadline nears,Aid deliveries are at their lowest monthly level despite a US threat to cut some military assistance.,2024-11-02,BBC,https://www.bbc.com/news/articles/cx2n4x9dlz7o
What is Unrwa and why has Israel banned it?,"The agency provides aid for Palestinians in Gaza and elsewhere, and has long been criticised by Israel.",2024-11-02,BBC,https://www.bbc.com/news/articles/c8jy9v43z89o
'Unrwa means everything to us': Gazans fear aid collapse ,People in war-torn Gaza are already struggling with a deep humanitarian crisis but now they fear it will get much more difficult.,2024-11-02,BBC,https://www.bbc.com/news/articles/cr4lryx7304o
Lebanon says 60 killed in Israel strikes on eastern valley,"The Lebanese health ministry said 58 were wounded in the Bekaa Valley, with rescue efforts under way.",2024-11-02,BBC,https://www.bbc.com/news/articles/ce8ye05pyjvo
Hidden sugars in Asia’s baby food spark concerns,The BBC takes a closer look at the products more and more parents are turning to for their children.,2024-11-02,BBC,https://www.bbc.com/news/articles/cy0g82n9e4go
Different lives - Harris and Trump as you've never seen them before,Born decades and thousands of miles apart - a visual look at the lives of the presidential rivals.,2024-11-02,BBC,https://www.bbc.com/news/articles/ce81g75lzplo
"Halloween, floods and fire: Photos of the week",A selection of striking news photographs taken around the world this week.,2024-11-02,BBC,https://www.bbc.com/news/articles/c624z4egxpvo
Artist hopes to raise awareness of ADHD in women,Ana Jaks is part of a campaign which aims to break down the stigma of women with ADHD in the workplace.,2024-11-02,BBC,https://www.bbc.com/news/articles/ckgv9zj9n7ro
Crack cocaine 'crisis' on Dublin's streets,The use of crack cocaine increased by 594% in Ireland between 2017 and 2023.,2024-11-02,BBC,https://www.bbc.com/news/articles/c0m0mjvlg1eo
Different lives - Harris and Trump as you've never seen them before,Born decades and thousands of miles apart - a visual look at the lives of the presidential rivals.,2024-11-02,BBC,https://www.bbc.com/news/articles/ce81g75lzplo
'I lost my leg on the way home from school',"Two years since war ended in northern Ethiopia, discarded weapons are proving deadly and maiming people.",2024-11-02,BBC,https://www.bbc.com/news/articles/cyv7e6mr2gpo
Could election change protection US offers Europe?,"US military power has helped protect Europe for 75 years, but for how much longer?",2024-11-02,BBC,https://www.bbc.com/news/articles/c3de8r2327go
"Halloween, floods and fire: Photos of the week",A selection of striking news photographs taken around the world this week.,2024-11-02,BBC,https://www.bbc.com/news/articles/c624z4egxpvo
